t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34082221984863,"[3.3230764865875244, -0.8700109124183655, -0.18030712008476257]","[3.3230764865875244, -0.8700109124183655, -0.18030712008476257]","[0.08726228773593903, 0.09563618898391724, -3.043609857559204]","[0.08726228773593903, 0.09563618898391724, -3.043609857559204]","[0.0011119470000267029, -0.009043212980031967, 0.6205713748931885, 0.7840970754623413]","[[0.22961877792435104, -0.973196511485874, -0.012801428743622445], [0.9731562891916992, 0.2297798644740937, -0.012967667006520855], [0.015561598658082154, -0.009480169443360609, 0.9998339677457339]]","[-0.004992504604160786, 0.0007110406877472997, -0.3253559172153473]",[0.0],"[0.0011119470000267029, -0.009043212980031967, 0.6205713748931885, 0.7840970754623413]",[0.44],"[0.2873614430427551, 0.29371902346611023, -17.694502410888674]","[658.644287109375, 658.6143188476562, 669.857421875, 669.8291015625]"
0.37182092666626,"[3.3257811069488525, -0.8670544028282166, -0.2739478051662445]","[3.3257811069488525, -0.8670544028282166, -0.2739478051662445]","[0.09303700178861618, 0.10144978016614914, -3.198469877243042]","[0.09303700178861618, 0.10144978016614914, -3.198469877243042]","[0.0010890630073845387, -0.009073134511709213, 0.6166931986808777, 0.7871506214141846]","[[0.23921435386175993, -0.9708806315574235, -0.012940611438954808], [0.9708411066967927, 0.2393766252850269, -0.012905193934219517], [0.015627082437310758, -0.009476167442131755, 0.9998329843437967]]","[-0.005008980631828308, 0.0011500633554533124, -0.33258455991744995]",[0.0],"[0.0010890630073845387, -0.009073134511709213, 0.6166931986808777, 0.7871506214141846]",[0.44],"[0.2887357026338577, 0.29067955911159515, -17.553000984191897]","[660.0156860351562, 659.9893188476562, 669.857421875, 669.8359985351562]"
0.40382790565491,"[3.328956365585327, -0.8636019825935364, -0.3822627067565918]","[3.328956365585327, -0.8636019825935364, -0.3822627067565918]","[0.09941477328538895, 0.10776377469301224, -3.365281343460083]","[0.09941477328538895, 0.10776377469301224, -3.365281343460083]","[0.0010602494003251195, -0.0091004753485322, 0.612316906452179, 0.7905594110488892]","[[0.2499703748425286, -0.9681650834272866, -0.01309051559785139], [0.9681264883331628, 0.2501337638880853, -0.012821130108287032], [0.01568735012935081, -0.009468369542343175, 0.9998321144392798]]","[-0.005051512736827135, 0.001553160254843533, -0.33961230516433716]",[0.0],"[0.0010602494003251195, -0.0091004753485322, 0.612316906452179, 0.7905594110488892]",[0.44],"[0.3188885748386383, 0.3156997263431549, -18.150573310852053]","[661.0147094726562, 660.9913940429688, 669.857421875, 669.8411865234375]"
0.43483233451843,"[3.332026243209839, -0.8602839112281799, -0.4854552447795868]","[3.332026243209839, -0.8602839112281799, -0.4854552447795868]","[0.10523112863302231, 0.11342188715934753, -3.513503074645996]","[0.10523112863302231, 0.11342188715934753, -3.513503074645996]","[0.001031070132739842, -0.009121240116655827, 0.6082467436790466, 0.7936949729919434]","[[0.2599054035651409, -0.9655435748700725, -0.01322467475459689], [0.9655059563170412, 0.260069671396435, -0.012732639560856684], [0.015733254957571816, -0.009459218836225691, 0.9998314797462313]]","[-0.005103857256472111, 0.0018607878591865301, -0.3452552556991577]",[0.0],"[0.001031070132739842, -0.009121240116655827, 0.6082467436790466, 0.7936949729919434]",[0.44],"[0.2908177673816681, 0.28290562331676483, -17.221086559295657]","[662.1016235351562, 662.081298828125, 669.857421875, 669.84619140625]"
0.46582221984863,"[3.335604429244995, -0.856439471244812, -0.6040399670600891]","[3.335604429244995, -0.856439471244812, -0.6040399670600891]","[0.11164452135562897, 0.11954788863658905, -3.6725728511810303]","[0.11164452135562897, 0.11954788863658905, -3.6725728511810303]","[0.00099601736292243, -0.009140459820628166, 0.6036777496337891, 0.7971754670143127]","[[0.27097925318270355, -0.9624923920943032, -0.013370553611979252], [0.9624559758675575, 0.2711443650929941, -0.012623785643153862], [0.015775647692960026, -0.009447783217385652, 0.9998309198873605]]","[-0.005172291304916143, 0.0021441474091261625, -0.35073673725128174]",[0.0],"[0.00099601736292243, -0.009140459820628166, 0.6036777496337891, 0.7971754670143127]",[0.44],"[0.32066963613033295, 0.3063000738620758, -17.76348882675171]","[663.0568237304688, 663.0391845703125, 669.857421875, 669.849609375]"
0.49682068824768,"[3.3390417098999023, -0.8527706265449524, -0.7163416147232056]","[3.3390417098999023, -0.8527706265449524, -0.7163416147232056]","[0.11748519539833069, 0.12502224743366241, -3.813415050506592]","[0.11748519539833069, 0.12502224743366241, -3.813415050506592]","[0.0009617216419428587, -0.009155220352113247, 0.5994477272033691, 0.8003609776496887]","[[0.28115720858203874, -0.9595667475358436, -0.013501958518301493], [0.9595315284416461, 0.28132299488439705, -0.01251560101138513], [0.01580796592816125, -0.009436703117096129, 0.9998305140635754]]","[-0.005240576341748238, 0.0023608587216585875, -0.35513466596603394]",[0.0],"[0.0009617216419428587, -0.009155220352113247, 0.5994477272033691, 0.8003609776496887]",[0.44],"[0.29203370213508606, 0.2737179398536682, -16.85210996627808]","[663.8961181640625, 663.8814086914062, 669.857421875, 669.8531494140625]"
0.52783274650574,"[3.34265398979187, -0.8489390015602112, -0.8328131437301636]","[3.34265398979187, -0.8489390015602112, -0.8328131437301636]","[0.12333262711763382, 0.13040193915367126, -3.950549840927124]","[0.12333262711763382, 0.13040193915367126, -3.950549840927124]","[0.0009253587923012674, -0.009167902171611786, 0.5951509475708008, 0.8035610914230347]","[[0.2914225983506994, -0.9564972571806548, -0.01363248262599781], [0.956463322785129, 0.29158898663336685, -0.012399735971541329], [0.015835395274322095, -0.009425406687143298, 0.9998301865617545]]","[-0.005309447180479765, 0.0025425697676837444, -0.3590385317802429]",[0.0],"[0.0009253587923012674, -0.009167902171611786, 0.5951509475708008, 0.8035610914230347]",[0.44],"[0.29237158596515656, 0.2689845860004425, -16.666739521026614]","[664.4415893554688, 664.4281005859375, 669.857421875, 669.8546752929688]"
0.55882263183594,"[3.346830129623413, -0.8445395827293396, -0.965613603591919]","[3.346830129623413, -0.8445395827293396, -0.965613603591919]","[0.12976911664009094, 0.13620485365390778, -4.097004413604736]","[0.12976911664009094, 0.13620485365390778, -4.097004413604736]","[0.0008831946761347353, -0.009179861284792423, 0.5903534293174744, 0.8070921897888184]","[[0.30279711727977954, -0.9529554992435864, -0.01377519468097927], [0.9529230688251288, 0.30296409692052373, -0.012264364230614666], [0.01586078270422358, -0.009413086129929027, 0.9998299002279121]]","[-0.0053875138983130455, 0.0027140071615576744, -0.3628270626068115]",[0.0],"[0.0008831946761347353, -0.009179861284792423, 0.5903534293174744, 0.8070921897888184]",[0.44],"[0.32182447612285614, 0.29014572501182556, -17.132728633880618]","[665.1119995117188, 665.1004638671875, 669.857421875, 669.8568725585938]"
0.5901951789856,"[3.350811243057251, -0.8403756022453308, -1.0904723405838013]","[3.350811243057251, -0.8403756022453308, -1.0904723405838013]","[0.13562192022800446, 0.14137311279773712, -4.226072788238525]","[0.13562192022800446, 0.14137311279773712, -4.226072788238525]","[0.0008430986781604588, -0.009189242497086525, 0.5859325528144836, 0.8103073239326477]","[[0.3131972027492641, -0.9495863726286632, -0.013904223072026538], [0.9495553828758528, 0.31336466547384245, -0.012134890696921204], [0.015880218915102835, -0.009402214562075788, 0.9998296940138972]]","[-0.005454548168927431, 0.002843623049557209, -0.365864098072052]",[0.0],"[0.0008430986781604588, -0.009189242497086525, 0.5859325528144836, 0.8103073239326477]",[0.44],"[0.29264017939567566, 0.2584129571914673, -16.263418731689455]","[665.7486572265625, 665.739013671875, 669.8561401367188, 669.857421875]"
0.62219405174255,"[3.355393171310425, -0.8356179594993591, -1.232216715812683]","[3.355393171310425, -0.8356179594993591, -1.232216715812683]","[0.14205937087535858, 0.14693862199783325, -4.363504886627197]","[0.14205937087535858, 0.14693862199783325, -4.363504886627197]","[0.0007972697494551539, -0.009198197163641453, 0.5810092091560364, 0.8138446807861328]","[[0.32468738408963194, -0.945717175607492, -0.01404536553567344], [0.9456878418300996, 0.32485532647364757, -0.011986182008908774], [0.01589824980213332, -0.009390767029925695, 0.9998295150597708]]","[-0.005527691449970007, 0.0029643720481544733, -0.36881008744239807]",[0.0],"[0.0007972697494551539, -0.009198197163641453, 0.5810092091560364, 0.8138446807861328]",[0.44],"[0.3218725323677063, 0.2782754600048065, -16.681604919433596]","[666.2571411132812, 666.2490844726562, 669.8547973632812, 669.857421875]"
