t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.3432080745697,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.37424254417419,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.40524125099182,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.43527913093567,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.46678733825684,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.49879860877991,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.52910351753235,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.56016540527344,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.59140372276306,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
0.62345314025879,"[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[7.8530097007751465, 3.2069814205169678, 0.6611301898956299]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]","[[-0.7027054378887669, -0.7114804547203022, 0.0], [0.7114804547203022, -0.7027054378887669, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.9226877689361572, 0.38554778695106506]",[0.44],"[0.0, 0.0, -9.81]","[473.6607360839844, 473.6607360839844, 473.6607971191406, 473.6607971191406]"
