t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.34121561050415,"[0.030004184693098068, 0.2209557592868805, -0.4877799451351166]","[0.030004184693098068, 0.2209557592868805, -0.4877799451351166]","[0.07488218694925308, -0.0307509396225214, -1.875502347946167]","[0.07488218694925308, -0.0307509396225214, -1.875502347946167]","[-0.000585875241085887, 0.009474043734371662, -0.2742730975151062, 0.9616050720214844]","[[0.8493690209495766, 0.5274737021638247, 0.01854195664931038], [-0.5274959045944525, 0.8495478494593418, -0.004070189435239402], [-0.017899197380790238, -0.006323711848839397, 0.9998197984910422]]","[0.004172314424067736, 0.01413730252534151, 0.03540588542819023]",[0.0],"[-0.000585875241085887, 0.009474043734371662, -0.2742730975151062, 0.9616050720214844]",[0.44],"[0.17642192542552948, -0.006876327097415924, -14.415156183242798]","[592.5665283203125, 592.7197875976562, 597.2384643554688, 597.5239868164062]"
0.37321519851685,"[0.03254248946905136, 0.21993939578533173, -0.551069974899292]","[0.03254248946905136, 0.21993939578533173, -0.551069974899292]","[0.07896155118942261, -0.030832912772893906, -1.9584022760391235]","[0.07896155118942261, -0.030832912772893906, -1.9584022760391235]","[-0.0004657997633330524, 0.009658893570303917, -0.2737392783164978, 0.9617553949356079]","[[0.849947026563521, 0.526531457232665, 0.018834001382806866], [-0.5265494536740215, 0.8501331810746868, -0.004392066239851125], [-0.018323970618587725, -0.006184007981232295, 0.9998129776111561]]","[0.0031635414343327284, 0.011287331581115723, 0.0319378487765789]",[0.0],"[-0.0004657997633330524, 0.009658893570303917, -0.2737392783164978, 0.9617553949356079]",[0.44],"[0.20396821200847626, -0.004098657518625259, -13.954996404647828]","[585.7437744140625, 585.8824462890625, 590.845947265625, 591.0676879882812]"
0.40421938896179,"[0.03496767580509186, 0.21901409327983856, -0.6108472347259521]","[0.03496767580509186, 0.21901409327983856, -0.6108472347259521]","[0.08272351324558258, -0.03084409050643444, -2.0253796577453613]","[0.08272351324558258, -0.03084409050643444, -2.0253796577453613]","[-0.0003785401349887252, 0.009794451296329498, -0.27330079674720764, 0.9618787169456482]","[[0.8504214864422907, 0.5257570242450232, 0.019049059133186545], [-0.5257718546166866, 0.8506130624094154, -0.00462544328726637], [-0.01863523785121369, -0.00608188208468792, 0.99980785086234]]","[0.002516835927963257, 0.0091714384034276, 0.028776865452528]",[0.0],"[-0.0003785401349887252, 0.009794451296329498, -0.27330079674720764, 0.9618787169456482]",[0.44],"[0.18809810280799866, -0.0005588866770267487, -13.15886908531189]","[579.1597900390625, 579.2625732421875, 585.8662109375, 586.0510864257812]"
0.43524193763733,"[0.03776674345135689, 0.21799665689468384, -0.678789496421814]","[0.03776674345135689, 0.21799665689468384, -0.678789496421814]","[0.08690734952688217, -0.03080483339726925, -2.091765880584717]","[0.08690734952688217, -0.03080483339726925, -2.091765880584717]","[-0.0003025175246875733, 0.009914971888065338, -0.27287930250167847, 0.9619971513748169]","[[0.8508771591973127, 0.5250122244460174, 0.01924145096682305], [-0.5250242222570292, 0.8510735894986894, -0.004829139232297226], [-0.01891124788229793, -0.005993223220258852, 0.9998032036312122]]","[0.0019039519829675555, 0.007308293133974075, 0.024440215900540352]",[0.0],"[-0.0003025175246875733, 0.009914971888065338, -0.27287930250167847, 0.9619971513748169]",[0.44],"[0.20919181406497955, 0.0019628554582595825, -13.129311141967774]","[578.417236328125, 578.5099487304688, 584.7750854492188, 584.927490234375]"
0.46620893478394,"[0.040430519729852676, 0.21707375347614288, -0.742431104183197]","[0.040430519729852676, 0.21707375347614288, -0.742431104183197]","[0.09065409004688263, -0.030711624771356583, -2.151405096054077]","[0.09065409004688263, -0.030711624771356583, -2.151405096054077]","[-0.00024773957557044923, 0.010003384202718735, -0.27255287766456604, 0.9620887637138367]","[[0.8512297223625138, 0.5244351657695885, 0.019383331349562632], [-0.5244450787062152, 0.8514297350037336, -0.004976207377703375], [-0.019113242812630132, -0.005929597225637632, 0.999799741859191]]","[0.0014842773089185357, 0.005938946269452572, 0.02092641592025757]",[0.0],"[-0.00024773957557044923, 0.010003384202718735, -0.27255287766456604, 0.9620887637138367]",[0.44],"[0.1873370260000229, 0.004660431295633316, -12.791960773468018]","[581.2095947265625, 581.2813720703125, 586.7532958984375, 586.8760986328125]"
0.4982168674469,"[0.04348241537809372, 0.216064453125, -0.8148642778396606]","[0.04348241537809372, 0.216064453125, -0.8148642778396606]","[0.09402613341808319, -0.03037833981215954, -2.252167224884033]","[0.09402613341808319, -0.03037833981215954, -2.252167224884033]","[-0.00020008363935630769, 0.010081980377435684, -0.2722327709197998, 0.962178647518158]","[[0.8515753442179936, 0.5238690841888153, 0.01951027113484672], [-0.5238771531461187, 0.8517785568077301, -0.005104258498004005], [-0.019292393840615978, -0.005874323320029457, 0.9997966272764125]]","[0.0011124027660116553, 0.004728612024337053, 0.020038850605487823]",[0.0],"[-0.00020008363935630769, 0.010081980377435684, -0.2722327709197998, 0.962178647518158]",[0.44],"[0.16860216856002808, 0.01666424795985222, -14.848106441497803]","[631.6038208007812, 631.6582641601562, 632.1727905273438, 632.261962890625]"
0.52911019325256,"[0.04633210226893425, 0.2151624858379364, -0.8846477270126343]","[0.04633210226893425, 0.2151624858379364, -0.8846477270126343]","[0.09582484513521194, -0.029714932665228844, -2.405834913253784]","[0.09582484513521194, -0.029714932665228844, -2.405834913253784]","[-0.0001660903071751818, 0.010139701887965202, -0.2719973921775818, 0.9622445702552795]","[[0.8518292101884359, 0.5234526592805454, 0.01960409843223869], [-0.5234593957053503, 0.8520347821252092, -0.005196305949466575], [-0.0194233939105682, -0.005835583934471976, 0.9997943177192661]]","[0.0008460731478407979, 0.003848838619887829, 0.010638649575412273]",[0.0],"[-0.0001660903071751818, 0.010139701887965202, -0.2719973921775818, 0.9622445702552795]",[0.44],"[0.08993558585643768, 0.03317035734653473, -17.49338441848755]","[652.0530395507812, 652.093994140625, 669.643798828125, 669.7105102539062]"
0.55911016464233,"[0.04923089221119881, 0.2142820805311203, -0.9592503905296326]","[0.04923089221119881, 0.2142820805311203, -0.9592503905296326]","[0.09742183238267899, -0.028973404318094254, -2.567241668701172]","[0.09742183238267899, -0.028973404318094254, -2.567241668701172]","[-0.00014043050759937614, 0.010186866857111454, -0.2719273269176483, 0.9622638821601868]","[[0.8519035132381159, 0.5233288294366698, 0.01968128188304439], [-0.5233345516242043, 0.8521110183093898, -0.005269912537408003], [-0.019528534312847644, -0.0058104373590732086, 0.999792416045816]]","[0.0006603508954867721, 0.003128589829429984, -0.0007036102470010519]",[0.0],"[-0.00014043050759937614, 0.010186866857111454, -0.2719273269176483, 0.9622638821601868]",[0.44],"[0.07984936237335205, 0.03707641735672951, -17.880337772369387]","[653.8954467773438, 653.93310546875, 669.8040161132812, 669.8568115234375]"
0.59031701087952,"[0.052177514880895615, 0.21342426538467407, -1.0386641025543213]","[0.052177514880895615, 0.21342426538467407, -1.0386641025543213]","[0.09901585429906845, -0.028209835290908813, -2.7265119552612305]","[0.09901585429906845, -0.028209835290908813, -2.7265119552612305]","[-0.00012108733062632382, 0.010225243866443634, -0.27201196551322937, 0.9622395038604736]","[[0.851809870011003, 0.5234788411841546, 0.019744141575402982], [-0.5234837937740938, 0.8520189519109762, -0.005329747338035526], [-0.019612392764193312, -0.005795807389818178, 0.9997908594514603]]","[0.00055238715140149, 0.0025551430881023407, -0.010816914029419422]",[0.0],"[-0.00012108733062632382, 0.010225243866443634, -0.27201196551322937, 0.9622395038604736]",[0.44],"[0.07970109581947327, 0.038178451359272, -17.773514328002932]","[655.8309936523438, 655.8609619140625, 669.8181762695312, 669.857421875]"
0.62098073959351,"[0.05517204850912094, 0.21258962154388428, -1.1228199005126953]","[0.05517204850912094, 0.21258962154388428, -1.1228199005126953]","[0.10061810910701752, -0.02742966264486313, -2.883326530456543]","[0.10061810910701752, -0.02742966264486313, -2.883326530456543]","[-0.00010650722833815962, 0.010256562381982803, -0.27223438024520874, 0.9621763229370117]","[[0.8515664902812232, 0.5238727651266792, 0.019795232815937133], [-0.5238771347188056, 0.8517768617374348, -0.0053794203403535745], [-0.019679253098744035, -0.005789335273668067, 0.9997895831686296]]","[0.0004947811248712242, 0.0020980106201022863, -0.01982087828218937]",[0.0],"[-0.00010650722833815962, 0.010256562381982803, -0.27223438024520874, 0.9621763229370117]",[0.44],"[0.08011274039745331, 0.03900863230228424, -17.650728759765627]","[657.537353515625, 657.5633544921875, 669.8290405273438, 669.857421875]"
0.65198636054993,"[0.05852186679840088, 0.2116987556219101, -1.2207756042480469]","[0.05852186679840088, 0.2116987556219101, -1.2207756042480469]","[0.1024010181427002, -0.02655685320496559, -3.05267596244812]","[0.1024010181427002, -0.02655685320496559, -3.05267596244812]","[-9.440238500246778e-05, 0.010284366086125374, -0.27262014150619507, 0.9620668292045593]","[[0.8511449805186975, 0.5245556484949532, 0.019839966924830876], [-0.5245595319697003, 0.8513564990666638, -0.0054258078689846815], [-0.019737022958599294, -0.00578909348181937, 0.9997884458047925]]","[0.0004842373600695282, 0.001702472218312323, -0.028583325445652008]",[0.0],"[-9.440238500246778e-05, 0.010284366086125374, -0.27262014150619507, 0.9620668292045593]",[0.44],"[0.08914545178413391, 0.04364047199487686, -18.27747159957886]","[658.650146484375, 658.6727905273438, 669.8351440429688, 669.857421875]"
0.68299102783203,"[0.061618611216545105, 0.21091407537460327, -1.31462824344635]","[0.061618611216545105, 0.21091407537460327, -1.31462824344635]","[0.10404900461435318, -0.02575293742120266, -3.2035164833068848]","[0.10404900461435318, -0.02575293742120266, -3.2035164833068848]","[-8.591260848334059e-05, 0.010304765775799751, -0.273084431886673, 0.9619349241256714]","[[0.850637409726878, 0.5253771339150025, 0.019871950961112647], [-0.5253806751522329, 0.8508497713603136, -0.0054628575381732904], [-0.01977810537759435, -0.005793426892264733, 0.9997876088426593]]","[0.0005032896297052503, 0.0014206848572939634, -0.0356251522898674]",[0.0],"[-8.591260848334059e-05, 0.010304765775799751, -0.273084431886673, 0.9619349241256714]",[0.44],"[0.08239932358264923, 0.04019578918814659, -17.352026042938235]","[660.0213012695312, 660.0405883789062, 669.841796875, 669.857421875]"
0.71383595466614,"[0.06476526707410812, 0.21015363931655884, -1.4129592180252075]","[0.06476526707410812, 0.21015363931655884, -1.4129592180252075]","[0.1057298555970192, -0.024940844625234604, -3.351182222366333]","[0.1057298555970192, -0.024940844625234604, -3.351182222366333]","[-7.903172809164971e-05, 0.01032140851020813, -0.27364450693130493, 0.961775541305542]","[[0.8500243047053768, 0.5263675561207861, 0.019897009710413242], [-0.5263708189957896, 0.8502373551606179, -0.005496771919093639], [-0.019810503317350965, -0.005800815051356274, 0.9997869245607027]]","[0.0005433546612039208, 0.0011983064468950033, -0.04188454896211624]",[0.0],"[-7.903172809164971e-05, 0.01032140851020813, -0.27364450693130493, 0.961775541305542]",[0.44],"[0.08404254913330078, 0.040604639798402786, -17.193286952972414]","[661.3303833007812, 661.34619140625, 669.84716796875, 669.857421875]"
0.74483180046082,"[0.06828657537698746, 0.20934513211250305, -1.5261257886886597]","[0.06828657537698746, 0.20934513211250305, -1.5261257886886597]","[0.10776319354772568, -0.024077996611595154, -3.5027244091033936]","[0.10776319354772568, -0.024077996611595154, -3.5027244091033936]","[-7.289012864930555e-05, 0.01033620722591877, -0.2743820548057556, 0.9615652561187744]","[[0.8492153016415084, 0.5276709947924351, 0.01991787498352232], [-0.5276740084223329, 0.849428965375201, -0.005531962324644982], [-0.019837876010426914, -0.005812316785537782, 0.999786315014424]]","[0.000605075852945447, 0.001010360661894083, -0.0545375719666481]",[0.0],"[-7.289012864930555e-05, 0.01033620722591877, -0.2743820548057556, 0.9615652561187744]",[0.44],"[0.1016668975353241, 0.043142400681972504, -17.38710933685303]","[635.4540405273438, 635.4679565429688, 669.8515625, 669.857421875]"
0.77582454681396,"[0.0715523511171341, 0.2086333930492401, -1.6330024003982544]","[0.0715523511171341, 0.2086333930492401, -1.6330024003982544]","[0.10999530553817749, -0.023379603400826454, -3.619813919067383]","[0.10999530553817749, -0.023379603400826454, -3.619813919067383]","[-7.011823618086055e-05, 0.010347084142267704, -0.27535176277160645, 0.9612878561019897]","[[0.8481486891766437, 0.5293831603786632, 0.019931667023924505], [-0.5293860624558218, 0.8483628036440038, -0.005563368098375191], [-0.01985443830418516, -0.005832983334103, 0.9997858658663715]]","[0.0006989578832872212, 0.0008844574331305921, -0.08164401352405548]",[0.0],"[-7.011823618086055e-05, 0.010347084142267704, -0.27535176277160645, 0.9612878561019897]",[0.44],"[0.11160559952259064, 0.03491966053843498, -15.664475498199463]","[623.8410034179688, 623.856201171875, 669.8568725585938, 669.8571166992188]"
0.80782723426819,"[0.07522477954626083, 0.2078743278980255, -1.754462480545044]","[0.07522477954626083, 0.2078743278980255, -1.754462480545044]","[0.11259695887565613, -0.022623853757977486, -3.739636182785034]","[0.11259695887565613, -0.022623853757977486, -3.739636182785034]","[-7.052823639241979e-05, 0.01035666186362505, -0.27691325545310974, 0.9608390927314758]","[[0.8464235770188067, 0.5321367013955784, 0.01994123158462592], [-0.532139623143963, 0.8466380879602573, -0.0056002613312324786], [-0.019863110770462752, -0.005871326477901453, 0.9997854691616208]]","[0.0009081077296286821, 0.0008054339559748769, -0.11614769697189331]",[0.0],"[-7.052823639241979e-05, 0.01035666186362505, -0.27691325545310974, 0.9608390927314758]",[0.44],"[0.13008266687393188, 0.037787482142448425, -15.801113185882569]","[616.1397705078125, 616.156982421875, 669.857421875, 669.8475341796875]"
0.83882761001587,"[0.07864119857549667, 0.20720548927783966, -1.8681190013885498]","[0.07864119857549667, 0.20720548927783966, -1.8681190013885498]","[0.11516573280096054, -0.021960144862532616, -3.83674955368042]","[0.11516573280096054, -0.021960144862532616, -3.83674955368042]","[-7.338302384596318e-05, 0.010363603942096233, -0.27886930108070374, 0.9602731466293335]","[[0.8442490172561823, 0.5355798814689903, 0.019944709680936056], [-0.5355829235193712, 0.8444638150593833, -0.005639246481583728], [-0.019862852590651604, -0.005921117470454682, 0.9997851806565263]]","[0.0011795181781053543, 0.0007856355514377356, -0.15536601841449738]",[0.0],"[-7.338302384596318e-05, 0.010363603942096233, -0.27886930108070374, 0.9602731466293335]",[0.44],"[0.12843869626522064, 0.0331854447722435, -14.665668544769288]","[610.7125244140625, 610.7314453125, 669.857421875, 669.8391723632812]"
