t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.71472907066345,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.7447304725647,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.77675485610962,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.80772233009338,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.83875155448914,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.86960124969482,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.90077042579651,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.9317409992218,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.96239113807678,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
0.99439668655396,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.0259692668915,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.0569655895233,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.0885319709778,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.1201357841492,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.1520998477936,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.1831333637238,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
1.2141857147217,"[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.680226743221283]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.9999998807907104]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[0.0],"[0.0, 0.0, 0.0, 0.9999998807907104]",[0.44],"[0.0, 0.0, -9.81]","[470.33343505859375, 470.33343505859375, 471.1842041015625, 469.4811706542969]"
